Year,League,Statistic,Team,Value
1914,FL,Complete Games,Indianapolis,104
1914,FL,ERA,Chicago,2.44
1914,FL,Fewest Hits Allowed,Chicago,1204
1914,FL,Fewest Home Runs Allowed,Indianapolis,29
1914,FL,Fewest Walks Allowed,Baltimore,392
1914,FL,Saves,Buffalo,16
1914,FL,Shutouts,Chicago,17
1914,FL,Strikeouts,Baltimore,732
1915,FL,Complete Games,Newark,100
1915,FL,ERA,Newark,2.61
1915,FL,Fewest Hits Allowed,Kansas City,1210
1915,FL,Fewest Home Runs Allowed,Newark,15
1915,FL,Fewest Walks Allowed,Kansas City,390
1915,FL,Saves,Brooklyn,16
1915,FL,Shutouts,St. Louis,24
1915,FL,Strikeouts,St. Louis,698
